latency,jitter,packet_loss,throughput,inter_arrival,bandwidth_util,threat_level
10.97,1.98,0.67,860.0,226.47,23.8,LOW
7.68,2.77,0.27,920.97,387.04,10.09,LOW
29.98,4.18,0.97,985.27,439.48,9.16,LOW
39.63,6.2,3.61,728.66,68.51,36.49,MEDIUM
173.5,31.26,15.43,271.11,8.3,71.83,HIGH
20.99,0.13,0.28,844.64,394.59,21.92,LOW
13.51,4.4,0.7,855.25,104.06,28.7,LOW
189.29,16.94,6.86,103.56,2.48,79.36,HIGH
23.53,2.76,0.43,801.93,130.1,27.08,LOW
209.65,57.63,12.92,191.33,1965.89,4.02,HIGH
104.12,19.86,16.86,59.2,5.99,80.7,HIGH
67.35,6.76,3.14,711.1,100.03,55.0,MEDIUM
40.96,12.75,1.93,518.83,433.23,30.04,MEDIUM
38.19,11.77,1.97,739.56,461.67,40.44,MEDIUM
29.45,9.76,1.59,610.84,604.09,44.67,MEDIUM
29.9,2.65,0.97,972.16,104.59,23.02,LOW
45.41,15.49,3.59,619.53,360.38,27.05,MEDIUM
208.42,27.36,22.5,90.41,2797.36,2.23,HIGH
21.4,0.03,0.75,954.01,142.63,15.63,LOW
225.03,30.23,18.69,123.95,2682.33,0.74,HIGH
15.06,1.48,0.13,884.09,476.15,21.93,LOW
24.15,0.64,0.48,909.96,206.02,26.81,LOW
161.83,44.59,9.79,171.6,1.58,85.72,HIGH
22.88,18.34,1.13,406.56,668.46,50.86,MEDIUM
27.29,3.06,0.72,900.96,432.23,18.7,LOW
40.35,11.28,3.5,743.09,397.49,41.54,MEDIUM
114.57,25.54,5.72,196.94,8.15,83.26,HIGH
52.53,10.94,2.87,569.44,120.7,51.09,MEDIUM
149.98,18.18,12.66,333.04,5.08,84.88,HIGH
281.12,62.21,13.29,23.48,2832.26,1.48,HIGH
104.25,33.85,19.0,293.66,2.24,87.85,HIGH
49.23,9.83,2.71,671.58,107.48,59.78,MEDIUM
44.76,12.47,2.53,539.65,103.94,59.14,MEDIUM
5.51,0.76,0.13,933.89,325.59,10.45,LOW
24.06,2.7,0.78,906.07,100.23,13.1,LOW
61.47,5.54,2.45,668.85,80.38,59.82,MEDIUM
52.29,18.14,3.92,686.45,545.43,44.28,MEDIUM
5.59,0.97,0.33,972.87,486.76,11.98,LOW
14.99,1.1,1.0,901.91,136.36,6.18,LOW
212.75,25.2,19.38,36.96,1281.22,1.62,HIGH
25.74,3.09,0.86,915.47,381.83,6.15,LOW
57.84,13.03,3.23,454.08,465.95,27.97,MEDIUM
96.51,17.7,17.67,85.4,7.94,94.22,HIGH
69.34,7.44,2.38,669.37,56.86,52.95,MEDIUM
20.31,11.62,1.63,448.03,402.21,34.84,MEDIUM
25.84,3.52,0.61,997.45,361.59,5.2,LOW
202.38,37.61,8.74,39.89,1083.81,4.67,HIGH
293.18,75.56,22.9,1.85,2135.92,0.54,HIGH
37.02,16.95,1.99,646.0,408.37,32.54,MEDIUM
258.8,68.54,10.81,87.53,1821.72,3.38,HIGH
69.5,7.38,2.97,552.27,55.24,52.25,MEDIUM
35.68,15.14,3.81,508.35,450.67,48.75,MEDIUM
186.3,60.43,24.66,116.74,2593.51,3.63,HIGH
185.88,37.9,12.06,237.84,8.62,82.5,HIGH
18.89,3.59,0.15,859.34,487.48,19.48,LOW
22.69,17.98,1.28,433.8,595.52,49.35,MEDIUM
189.6,78.42,16.44,99.5,2848.62,2.6,HIGH
133.24,50.26,20.99,55.94,2978.18,3.4,HIGH
123.42,27.69,7.7,124.97,9.53,84.1,HIGH
143.13,32.76,19.82,243.95,4.51,83.63,HIGH
278.11,48.65,11.39,192.78,1642.34,3.23,HIGH
48.64,7.83,3.23,601.51,109.79,53.68,MEDIUM
24.57,1.74,0.43,874.11,302.38,13.53,LOW
176.26,63.1,20.48,172.16,2950.75,0.65,HIGH
197.01,28.79,16.92,168.68,9.45,91.89,HIGH
76.45,13.29,2.8,554.12,120.27,39.27,MEDIUM
124.8,48.48,24.44,156.58,2552.32,2.89,HIGH
26.95,4.73,0.09,897.2,127.69,24.02,LOW
14.47,0.14,0.85,836.37,184.85,24.95,LOW
9.98,0.12,0.24,895.03,439.9,6.82,LOW
240.62,69.74,20.56,137.08,2052.79,3.23,HIGH
21.2,3.05,0.17,945.83,165.36,14.49,LOW
125.82,33.46,19.49,335.91,8.21,74.01,HIGH
57.23,11.48,4.73,747.99,57.14,34.98,MEDIUM
156.94,45.59,13.32,85.91,8.61,94.68,HIGH
35.2,11.8,3.16,665.79,648.95,26.08,MEDIUM
10.72,4.53,0.86,814.17,195.2,21.72,LOW
172.28,37.26,20.14,69.27,1884.75,1.28,HIGH
25.18,3.65,0.54,994.62,251.41,18.8,LOW
30.78,8.48,3.27,564.68,560.6,52.48,MEDIUM
23.97,16.23,2.63,742.24,443.47,36.94,MEDIUM
